treat,lninc,gender,age,age2,hukou,fedu,medu,party
0,6.6846118,0,69,4761,1,,,0
0,6.8023949,0,66,4356,1,,,0
0,7.8240461,0,46,2116,1,,,0
0,6.7452364,0,43,1849,1,0,0,0
0,6.9077554,1,45,2025,1,0,0,0
0,6.6846118,1,42,1764,1,12,,0
0,6.3969297,0,58,3364,1,0,0,0
1,,1,19,361,1,9,9,0
0,7.6009026,1,25,625,0,0,0,0
0,8.2940493,0,27,729,1,6,0,0
0,6.3969297,0,68,4624,1,0,0,0
1,7.3132205,0,26,676,1,9,6,0
0,6.9077554,1,53,2809,1,6,6,0
0,7.3132205,1,28,784,1,6,6,0
0,7.6009026,1,47,2209,1,6,6,1
1,,1,20,400,1,9,6,0
1,6.9077554,0,63,3969,1,16,0,0
0,6.9077554,0,54,2916,1,3,0,1
0,6.1092477,1,58,3364,1,,,0
0,6.3969297,0,42,1764,1,6,0,0
0,6.6644092,1,55,3025,1,3,0,0
1,,1,19,361,1,14,14,0
0,6.5510802,1,51,2601,1,6,0,0
1,7.2442274,1,48,2304,1,9,6,1
0,5.9914646,0,19,361,1,12,12,0
0,6.49224,1,69,4761,1,3,0,1
0,4.5747108,0,41,1681,1,0,6,0
0,6.0402546,1,52,2704,1,0,0,0
0,,1,46,2116,1,0,0,0
1,7.3132205,1,69,4761,1,3,0,0
0,6.3969297,1,64,4096,1,0,0,0
0,6.5220928,0,57,3249,1,3,0,0
0,6.43294,1,62,3844,1,3,0,0
1,6.9077554,0,53,2809,1,6,6,1
0,6.0161572,0,58,3364,1,0,6,0
1,5.2983174,0,40,1600,1,14,14,0
0,,1,70,4900,1,6,6,0
0,6.8023949,0,53,2809,1,14,14,0
1,6.9077554,0,47,2209,1,6,0,1
0,7.3132205,0,40,1600,1,0,0,0
0,,0,19,361,1,9,9,0
0,,1,43,1849,1,9,16,0
1,6.9077554,0,55,3025,1,9,6,1
0,,0,54,2916,1,9,6,0
1,,0,49,2401,1,9,3,0
0,,0,29,841,1,6,0,0
1,,0,21,441,1,14,14,0
0,4.3820267,1,66,4356,1,0,0,0
0,7.0900769,1,25,625,1,9,12,0
1,6.3969297,1,66,4356,1,0,0,0
